# Checksums published by the ZAP project for each ZAP_<version>_Linux.tar.gz.
# Every SHA-512 entry in install.sh was derived from a download that matched
# the checksum below; CI re-derives the table from this file on every build.
#
# Sources:
#   notes      SHA-256 table in the GitHub release notes (zaproxy/zaproxy or
#              zaproxy/zap-archive)
#   zap-admin  <linux><hash> of the release in the git history of
#              zaproxy/zap-admin ZapVersions*.xml (the ZAP update feed)
#
# NONE means the ZAP project never published a checksum for that release.
#
# version  checksum                                                                  sources
2.17.0     SHA-256:efe799aaa3627db683b43f00c9c210aea0b75c00cc8f0a0f0434d12bb3ddde5a  notes,zap-admin
2.16.1     SHA-256:5b2eb8319b085121a6e8ad50d69d67dbef8c867166f71a937bfc888d247a2ac1  notes,zap-admin
2.16.0     SHA-256:a0779509e702ec53d41074eaa0ce41f2a964a822aa5be0380255a482e2e7fe8d  notes,zap-admin
2.15.0     SHA-256:6410e196baab458a9204e29aafb5745fca003a2a6c0386f2c6e5c04b67621fa7  notes,zap-admin
2.14.0     SHA-256:219d7f25bbe25247713805ab02cc12279898c870743c1aae3c2b0b1882191960  notes,zap-admin
2.13.0     SHA-256:936eb52a0fd390c1ef890c455420d95ce20062fe136ec0927e023e2baf50f549  notes,zap-admin
2.12.0     SHA-256:9c4493c991cb9347063864d2436a3795cf3b69760625e7b3db401cd342d3fc55  notes,zap-admin
2.11.1     SHA-256:5f83666e5863f4f94eac583942f1c4e15f9cc7b7307d05bc6ce6545265c6382c  notes,zap-admin
2.11.0     SHA-256:c2beb84f7fa9b39af657bdb3e0d0dba96425257ea48e0e8b22eeeccd8d55681e  notes,zap-admin
2.10.0     SHA-256:10ff2f6263b97b6367d97273de74a431b92b8d47b486662f79c2e8754dd1e9d7  notes,zap-admin
2.9.0      SHA-256:4c72ba9d9ba60f58dc7eb26c5818cf98a38ba58b9bf2313aadd69832d85e9cb1  notes,zap-admin
2.8.1      NONE
2.8.0      SHA-256:cca5cbf68b861a8ef3d5142f13eb0c586a9e072e3535e2169c4efb0ec3716c60  notes,zap-admin
2.7.0      SHA1:35f15d04213f34cdd531125cc4d19c733e7cec5a                               zap-admin
2.5.0      SHA1:6e39b788d342a3fe9cedd233a9705d642337ce3a                               zap-admin
2.4.3      SHA1:ccfc5ada5ac5c6cf207fed79ed256c1df7402159                               zap-admin
2.4.2      SHA1:a0e0ec11e25d1cb8dd0ef399c682f0d1663efbf9                               zap-admin
2.4.0      SHA1:6cbf56f9ed6e2f162d966c74ed534df84dda2885                               zap-admin
